City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,narsaq,60.9167,-46.05,16.02,94,75,7.61,GL,1676583777
1,acarau,-2.8856,-40.12,78.35,80,100,8.39,BR,1676583925
2,atuona,-9.8,-139.0333,78.91,79,7,15.01,PF,1676583634
3,charyshskoye,51.3978,83.5598,-0.56,94,21,5.03,RU,1676584161
4,abu kamal,34.4506,40.9171,43.14,34,0,3.67,SY,1676584162
5,arraial do cabo,-22.9661,-42.0278,84.16,74,0,11.5,BR,1676583599
6,bredasdorp,-34.5322,20.0403,67.73,81,100,16.87,ZA,1676583628
7,cururupu,-1.8283,-44.8683,73.11,98,100,2.84,BR,1676583608
8,lahaina,20.8783,-156.6825,79.81,68,100,7.52,US,1676584126
9,ushuaia,-54.8,-68.3,49.66,50,20,11.5,AR,1676583608
10,aluksne,57.4167,27.05,31.03,98,100,5.82,LV,1676584163
11,nikolskoye,59.7035,30.7861,26.49,93,96,10.09,RU,1676583631
12,lahad datu,5.0268,118.327,74.44,91,99,4.27,MY,1676584163
13,tuktoyaktuk,69.4541,-133.0374,-31.0,75,20,6.91,CA,1676583672
14,auki,-8.7676,160.7034,82.13,80,100,6.02,SB,1676583777
15,hokitika,-42.7167,170.9667,67.32,53,0,3.56,NZ,1676583805
16,nioro,13.35,-15.75,79.65,36,1,6.15,GM,1676584164
17,la ferte-bernard,48.1863,0.6536,53.22,98,100,10.04,FR,1676584165
18,thompson,55.7435,-97.8558,-3.84,65,75,5.75,CA,1676583428
19,bonthe,7.5264,-12.505,77.07,91,83,6.15,SL,1676584165
20,coquimbo,-29.9533,-71.3436,71.33,68,20,11.5,CL,1676583470
21,busselton,-33.65,115.3333,59.97,89,9,3.22,AU,1676583598
22,puerto escondido,15.85,-97.0667,82.89,64,11,8.34,MX,1676584166
23,atar,20.5169,-13.0499,73.53,29,1,10.51,MR,1676583765
24,mataura,-46.1927,168.8643,58.48,67,99,3.44,NZ,1676583633
25,rikitea,-23.1203,-134.9692,80.08,71,88,11.7,PF,1676583598
26,butaritari,3.0707,172.7902,81.12,78,28,10.42,KI,1676583606
27,hobart,-42.8794,147.3294,64.26,77,0,9.22,AU,1676583604
28,pokhara,28.2333,83.9833,57.42,35,0,6.04,NP,1676583526
29,pacific grove,36.6177,-121.9166,58.89,47,0,5.99,US,1676583700
30,punta arenas,-53.15,-70.9167,51.91,46,20,14.97,CL,1676583624
31,harper,4.375,-7.7169,80.04,82,17,7.67,LR,1676584167
32,puerto colombia,10.9878,-74.9547,84.29,80,7,28.63,CO,1676584168
33,kaitong,44.8135,123.15,15.62,77,100,4.88,CN,1676584168
34,port alfred,-33.5906,26.891,69.19,93,79,9.73,ZA,1676583603
35,provideniya,64.3833,-173.3,-10.64,70,75,20.13,RU,1676583636
36,gemlik,40.4309,29.1597,31.05,77,1,3.42,TR,1676584169
37,gazli,40.1333,63.45,43.54,87,100,5.14,UZ,1676584169
38,bozdar,27.1828,68.636,71.62,19,32,2.77,PK,1676584170
39,lumeje,-11.55,20.7833,66.04,93,100,3.65,AO,1676584170
40,tignere,7.3667,12.65,64.94,24,84,3.96,CM,1676584171
41,puerto ayora,-0.7393,-90.3518,85.96,84,66,5.99,EC,1676583618
42,kruisfontein,-34.0033,24.7314,65.95,84,100,7.9,ZA,1676583658
43,garowe,8.4054,48.4845,67.05,72,8,10.65,SO,1676584171
44,cape town,-33.9258,18.4232,72.01,73,20,17.0,ZA,1676583540
45,ciudad bolivar,8.1222,-63.5497,84.94,49,98,14.32,VE,1676584172
46,besancon,47.2488,6.0182,47.14,83,99,4.83,FR,1676584172
47,nanortalik,60.1432,-45.2371,19.36,83,68,6.22,GL,1676583687
48,jamestown,42.097,-79.2353,54.52,69,20,5.75,US,1676583595
49,east london,-33.0153,27.9116,72.3,86,85,9.6,ZA,1676583692
50,khandbari,27.3747,87.2039,55.89,50,0,3.69,NP,1676584173
51,binga,-17.6203,27.3414,72.1,91,100,4.7,ZW,1676584173
52,meadow lake,34.8014,-106.5436,35.85,34,7,8.21,US,1676584174
53,opuwo,-18.0607,13.84,64.89,47,7,3.87,NA,1676584174
54,mahebourg,-20.4081,57.7,74.25,83,20,3.44,MU,1676583691
55,sambava,-14.2667,50.1667,75.83,91,89,4.7,MG,1676583716
56,khatanga,71.9667,102.5,-3.01,96,100,5.84,RU,1676583622
57,natal,-5.795,-35.2094,83.05,78,40,12.66,BR,1676584175
58,victoria,22.2855,114.1577,61.95,78,75,8.99,HK,1676584126
59,hilo,19.7297,-155.09,67.62,99,100,6.91,US,1676583617
60,vaini,-21.2,-175.2,84.36,84,75,11.5,TO,1676583594
61,mezen,65.8522,44.24,14.52,86,21,13.96,RU,1676583597
62,bathsheba,13.2167,-59.5167,81.21,65,75,21.85,BB,1676583631
63,barrow,71.2906,-156.7887,-11.18,70,100,9.22,US,1676583599
64,solnechnyy,50.7214,136.6319,-4.34,96,100,1.61,RU,1676583758
65,sao felix do xingu,-6.6447,-51.995,74.84,95,95,2.1,BR,1676584176
66,george town,5.4112,100.3354,80.53,88,20,6.91,MY,1676583538
67,hovd,48.0056,91.6419,6.39,84,100,4.16,MN,1676584176
68,ipanema,-30.1391,-51.2244,84.65,69,20,16.11,BR,1676584177
69,cidreira,-30.1811,-50.2056,76.96,83,33,18.03,BR,1676583749
70,champerico,14.3,-91.9167,91.94,62,0,12.66,GT,1676584177
71,rocha,-34.4833,-54.3333,67.69,90,100,3.67,UY,1676583682
72,ihosy,-22.4,46.1167,68.29,94,99,1.21,MG,1676584178
73,georgetown,5.4112,100.3354,80.53,88,20,6.91,MY,1676583616
74,bilma,18.6853,12.9164,61.27,25,100,4.92,NE,1676583717
75,nabire,-3.3667,135.4833,74.25,92,100,5.75,ID,1676584178
76,aksu,41.1231,80.2644,30.18,56,88,0.51,CN,1676583759
77,chuy,-33.6971,-53.4616,68.5,87,100,10.25,UY,1676583606
78,calama,-22.4667,-68.9333,72.09,33,40,21.85,CL,1676584179
