City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.3333,59.97,89,9,3.22,AU,1676585585
1,straumen,63.8709,11.2999,32.0,88,100,6.08,NO,1676585683
2,tokur,53.1333,132.9,-26.23,100,97,3.18,RU,1676585684
3,saint george,37.1041,-113.5841,44.26,27,0,4.0,US,1676585438
4,yellowknife,62.456,-114.3525,-4.43,95,100,8.68,CA,1676585684
5,mataura,-46.1927,168.8643,58.48,67,99,3.44,NZ,1676585684
6,ushuaia,-54.8,-68.3,47.86,57,0,11.5,AR,1676585685
7,castro,-24.7911,-50.0119,65.82,97,100,14.65,BR,1676585685
8,bredasdorp,-34.5322,20.0403,67.73,81,100,16.87,ZA,1676585686
9,atuona,-9.8,-139.0333,78.91,79,7,15.01,PF,1676585686
10,barrow,71.2906,-156.7887,-11.18,70,100,9.22,US,1676585686
11,zaqatala,41.6336,46.6433,28.87,80,75,2.3,AZ,1676585687
12,bluff,-46.6,168.3333,58.8,78,99,9.35,NZ,1676585687
13,hilo,19.7297,-155.09,68.61,97,100,9.22,US,1676585687
14,airai,-8.9266,125.4092,61.02,88,99,1.54,TL,1676585688
15,cape town,-33.9258,18.4232,71.35,74,3,15.99,ZA,1676585688
16,new norfolk,-42.7826,147.0587,65.91,65,87,3.31,AU,1676585688
17,jamestown,42.097,-79.2353,47.84,71,0,5.75,US,1676585485
18,saskylakh,71.9167,114.0833,-7.91,99,100,3.96,RU,1676585538
19,kununurra,-15.7667,128.7333,76.98,94,80,0.0,AU,1676585689
20,rikitea,-23.1203,-134.9692,80.08,71,88,11.7,PF,1676585689
21,wegorzewo,54.2157,21.7372,34.68,92,100,6.46,PL,1676585690
22,ouesso,1.6136,16.0517,72.82,30,89,0.89,CG,1676585690
23,tasiilaq,65.6145,-37.6368,17.76,95,100,4.45,GL,1676585690
24,la ronge,55.1001,-105.2842,18.05,88,100,12.35,CA,1676585691
25,punta arenas,-53.15,-70.9167,50.11,50,0,14.97,CL,1676585691
26,clyde river,70.4692,-68.5914,-18.45,96,100,6.33,CA,1676585692
27,avarua,-21.2078,-159.775,84.25,74,77,5.75,CK,1676585692
28,salihorsk,52.7876,27.5415,31.53,78,100,0.81,BY,1676585693
29,dudinka,69.4058,86.1778,9.63,95,100,9.13,RU,1676585693
30,bonthe,7.5264,-12.505,77.07,91,83,6.15,SL,1676585694
31,tura,25.5198,90.2201,60.3,49,0,2.35,IN,1676585694
32,vaini,-21.2,-175.2,80.55,81,100,5.44,TO,1676585694
33,kapaa,22.0752,-159.319,82.38,79,20,11.5,US,1676585695
34,bequimao,-2.4489,-44.7825,72.81,98,100,3.22,BR,1676585695
35,kupang,-10.1667,123.5833,77.58,94,40,4.61,ID,1676585483
36,thompson,55.7435,-97.8558,-0.96,86,100,7.14,CA,1676585428
37,longyearbyen,78.2186,15.6401,24.64,74,75,17.27,SJ,1676585696
38,palu,-0.8917,119.8707,74.1,95,100,2.42,ID,1676585696
39,calbuco,-41.768,-73.1273,58.21,62,80,17.58,CL,1676585696
40,saint-francois,46.4154,3.9054,43.68,81,0,2.3,FR,1676585697
41,paracuru,-3.41,-39.0306,80.11,87,100,6.06,BR,1676585697
42,hermanus,-34.4187,19.2345,66.79,83,100,18.77,ZA,1676585698
43,butaritari,3.0707,172.7902,81.12,78,28,10.42,KI,1676585698
44,esperance,-33.8667,121.9,63.3,75,0,2.01,AU,1676585699
45,saint-philippe,-21.3585,55.7679,72.99,78,24,3.15,RE,1676585699
46,dingle,10.9995,122.6711,73.36,83,100,13.96,PH,1676585699
47,sola,-13.8833,167.55,80.47,79,97,9.4,VU,1676585700
48,kutum,14.2,24.6667,53.85,24,48,14.97,SD,1676585700
49,tautira,-17.7333,-149.15,81.16,72,23,8.72,PF,1676585700
50,saldanha,-33.0117,17.9442,66.07,84,55,13.73,ZA,1676585701
51,mehamn,71.0357,27.8492,35.55,80,75,19.57,NO,1676585702
52,aswan,24.0934,32.907,54.99,40,0,12.55,EG,1676585702
53,komsomolskiy,40.4272,71.7189,39.92,93,100,0.0,UZ,1676585703
54,alice springs,-23.7,133.8833,67.55,49,14,0.0,AU,1676585703
55,hervey bay,-25.2986,152.8535,75.11,65,99,10.0,AU,1676585570
56,beringovskiy,63.05,179.3167,-8.79,97,100,14.9,RU,1676585705
57,dikson,73.5069,80.5464,-12.21,100,88,7.47,RU,1676585705
58,yuzhne,46.6221,31.1013,37.0,80,100,12.15,UA,1676585708
59,madisonville,37.3281,-87.4989,62.94,93,100,3.0,US,1676585710
60,klaksvik,62.2266,-6.589,38.32,65,99,10.89,FO,1676585710
61,nikolskoye,59.7035,30.7861,25.81,93,96,10.09,RU,1676585713
62,zlobin,45.2924,14.6541,42.1,80,75,6.91,HR,1676585714
63,lebu,-37.6167,-73.65,58.78,65,94,24.76,CL,1676585716
64,norman wells,65.282,-126.8329,-7.4,90,100,3.47,CA,1676585717
65,maceio,-9.6658,-35.7353,80.04,83,20,6.91,BR,1676585717
66,prachuap khiri khan,12.2167,99.75,68.76,83,80,2.73,TH,1676585719
67,codrington,-38.2667,141.9667,72.46,45,30,8.93,AU,1676585720
68,mateare,12.2351,-86.4281,89.58,41,6,14.14,NI,1676585722
69,novyy urengoy,66.0833,76.6333,24.57,91,100,21.5,RU,1676585699
70,vostok,46.4856,135.8833,-2.76,91,78,5.12,RU,1676585723
71,tuktoyaktuk,69.4541,-133.0374,-25.65,96,51,7.25,CA,1676585724
72,impfondo,1.6381,18.0667,75.31,29,50,2.39,CG,1676585725
73,isangel,-19.55,169.2667,78.98,64,77,12.21,VU,1676585725
74,puerto ayora,-0.7393,-90.3518,85.96,86,66,5.99,EC,1676585726
75,chuy,-33.6971,-53.4616,68.5,87,100,10.25,UY,1676585726
76,huntsville,34.7304,-86.5861,71.82,87,100,12.66,US,1676585540
77,makinsk,52.6292,70.4169,-8.84,100,99,7.4,KZ,1676585728
78,kaitangata,-46.2817,169.8464,62.55,65,90,5.75,NZ,1676585728
79,pisco,-13.7,-76.2167,80.65,74,0,5.75,PE,1676585729
80,manokwari,-0.8667,134.0833,78.62,83,99,6.17,ID,1676585732
81,hualmay,-11.0964,-77.6139,76.48,75,90,6.24,PE,1676585733
82,mar del plata,-38.0023,-57.5575,54.09,94,100,7.0,AR,1676585733
83,lagoa,39.05,-27.9833,58.32,77,88,21.92,PT,1676585733
84,bolgatanga,10.7856,-0.8514,78.12,15,51,6.87,GH,1676585734
85,san quintin,30.4833,-115.95,58.15,43,76,8.93,MX,1676585734
86,yarmouth,41.7057,-70.2286,57.67,77,0,5.99,US,1676585725
87,mayo,38.8876,-76.5119,60.19,90,100,1.99,US,1676585735
88,port alfred,-33.5906,26.891,69.19,93,79,9.73,ZA,1676585735
89,hobart,-42.8794,147.3294,66.27,68,0,8.05,AU,1676585736
90,qaanaaq,77.484,-69.3632,-14.53,61,77,8.08,GL,1676585736
91,bengkulu,-3.8004,102.2655,74.46,86,99,3.62,ID,1676585736
92,kurgan,55.45,65.3333,-6.77,97,24,4.29,RU,1676585530
93,te anau,-45.4167,167.7167,60.42,64,76,0.36,NZ,1676585737
94,ust-maya,60.4167,134.5333,-51.29,100,71,1.5,RU,1676585737
95,khabary,53.6259,79.5345,-10.01,99,24,2.37,RU,1676585738
96,faya,18.3851,42.4509,54.12,83,7,2.46,SA,1676585738
97,cabo san lucas,22.8909,-109.9124,75.06,59,75,1.99,MX,1676585739
98,lubbock,33.6001,-101.8338,38.37,33,0,21.85,US,1676585604
99,yulara,-25.2406,130.9889,81.9,14,2,5.17,AU,1676585739
100,provideniya,64.3833,-173.3,-9.29,64,40,15.66,RU,1676585545
101,katsuura,35.1333,140.3,43.48,86,95,6.35,JP,1676585740
102,markova,48.6758,24.4138,30.72,87,99,7.38,UA,1676585740
103,calimete,22.5333,-80.9061,85.95,43,5,12.86,CU,1676585740
104,tongliao,43.6125,122.2653,15.8,75,29,6.17,CN,1676585741
105,andreapol,56.6513,32.2664,11.59,96,81,7.94,RU,1676585741
106,fukue,32.6881,128.8419,53.74,68,96,11.39,JP,1676585741
107,gadung,6.8025,124.02,78.75,69,98,5.79,PH,1676585742
108,port elizabeth,-33.918,25.5701,70.09,83,0,6.91,ZA,1676585742
109,bambous virieux,-20.3428,57.7575,74.21,94,20,5.75,MU,1676585743
110,husavik,66.0449,-17.3389,25.88,81,77,8.05,IS,1676585743
111,kuito,-12.3833,16.9333,61.63,88,87,5.99,AO,1676585743
112,acapulco,16.8634,-99.8901,84.02,65,0,12.66,MX,1676585489
113,port hardy,50.6996,-127.4199,35.96,98,100,1.39,CA,1676585744
114,savinka,50.0785,47.0994,8.11,99,95,5.17,RU,1676585745
115,alofi,-19.0595,-169.9187,84.09,79,75,10.36,NU,1676585745
116,hithadhoo,-0.6,73.0833,80.92,73,64,12.53,MV,1676585746
117,albany,42.6001,-73.9662,48.16,76,100,2.1,US,1676585588
118,jumla,29.2747,82.1838,41.43,47,0,3.83,NP,1676585746
119,ponta do sol,32.6667,-17.1,63.72,65,48,7.49,PT,1676585747
120,mount gambier,-37.8333,140.7667,67.57,75,10,6.89,AU,1676585500
121,narsaq,60.9167,-46.05,16.02,94,75,7.61,GL,1676585747
122,sao filipe,14.8961,-24.4956,70.56,72,1,13.53,CV,1676585747
123,bambanglipuro,-7.95,110.2833,74.73,91,100,1.39,ID,1676585748
124,zwedru,6.0667,-8.1281,75.58,85,74,3.09,LR,1676585748
125,baraboo,43.4711,-89.7443,27.0,91,100,5.75,US,1676585749
126,black river,18.0264,-77.8487,82.06,63,29,14.92,JM,1676585750
127,erenhot,43.6475,111.9767,16.95,31,5,1.59,CN,1676585750
128,xinzhi,36.4989,111.7047,36.63,81,92,3.15,CN,1676585750
